order_number,order_line_number,order_date,expected_receiving_date,shipping_date,order_status,customer_id,employee_id,office_id,product_number,product_name,product_category,unit_price,quantity,sales_amount,shipping_days
10105,1,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S10_4757,1972 Alfa Romeo GTA,Classic Cars,127.84,2,255.68,1
10105,2,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S12_1108,2001 Ferrari Enzo,Classic Cars,205.72,15,3085.80,1
10105,3,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S12_3891,1969 Ford Falcon,Classic Cars,141.88,14,1986.32,1
10105,4,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S18_3140,1903 Ford Model A,Vintage Cars,136.59,11,1502.49,1
10105,5,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S18_3259,Collectable Wooden Train,Trains,87.73,13,1140.49,1
10105,6,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S18_4522,1904 Buick Runabout,Vintage Cars,75.48,10,754.80,1
10105,7,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S24_2011,18th century schooner,Ships,117.97,9,1061.73,1
10105,8,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,73.46,4,293.84,1
10105,9,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,75.47,1,75.47,1
10105,10,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S700_1138,The Schooner Bluenose,Ships,54.00,5,270.00,1
10105,11,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S700_1938,The Mayflower,Ships,86.61,12,1039.32,1
10105,12,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S700_2610,The USS Constitution Ship,Ships,60.72,3,182.16,1
10105,13,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S700_3505,The Titanic,Ships,92.16,6,552.96,1
10105,14,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S700_3962,The Queen Mary,Ships,99.31,7,695.17,1
10105,15,2003-02-11,2003-02-21,2003-02-12,Shipped,124,1143,6,S72_3212,Pont Yacht,Ships,44.77,8,358.16,1
10106,1,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S18_1662,1980s Black Hawk Helicopter,Planes,134.04,12,1608.48,4
10106,2,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S18_2581,P-51-D Mustang,Planes,81.10,2,162.20,4
10106,3,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S18_3029,1999 Yamaha Speed Boat,Ships,80.86,18,1455.48,4
10106,4,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,94.22,17,1601.74,4
10106,5,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S24_1785,1928 British Royal Navy Airplane,Planes,107.23,4,428.92,4
10106,6,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S24_2841,1900s Vintage Bi-Plane,Planes,65.77,13,855.01,4
10106,7,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S24_3420,1937 Horch 930V Limousine,Vintage Cars,55.89,14,782.46,4
10106,8,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S24_3949,Corsair F4U ( Bird Cage),Planes,55.96,11,615.56,4
10106,9,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S24_4278,1900s Vintage Tri-Plane,Planes,71.00,3,213.00,4
10106,10,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,65.35,5,326.75,4
10106,11,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S50_1341,1930 Buick Marquette Phaeton,Vintage Cars,35.78,6,214.68,4
10106,12,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S700_1691,American Airlines: B767-300,Planes,91.34,7,639.38,4
10106,13,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S700_2047,HMS Bounty,Ships,85.09,16,1361.44,4
10106,14,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S700_2466,America West Airlines B757-200,Planes,99.72,9,897.48,4
10106,15,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S700_2834,ATA: B757-300,Planes,113.90,1,113.90,4
10106,16,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S700_3167,F/A 18 Hornet 1/72,Planes,76.00,8,608.00,4
10106,17,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S700_4002,American Airlines: MD-11S,Planes,70.33,10,703.30,4
10106,18,2003-02-17,2003-02-24,2003-02-21,Shipped,125,1165,7,S72_1253,Boeing X-32A JSF,Planes,43.70,15,655.50,4
10107,1,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,81.35,2,162.70,2
10107,2,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S10_2016,1996 Moto Guzzi 1100i,Motorcycles,105.86,5,529.30,2
10107,3,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,172.36,4,689.44,2
10107,4,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S12_2823,2002 Suzuki XREO,Motorcycles,122.00,1,122.00,2
10107,5,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,52.70,6,316.20,2
10107,6,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S24_1578,1997 BMW R 1100 S,Motorcycles,96.92,3,290.76,2
10107,7,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S24_2000,1960 BSA Gold Star DBD34,Motorcycles,73.12,7,511.84,2
10107,8,2003-02-24,2003-03-03,2003-02-26,Shipped,128,1166,1,S32_1374,1997 BMW F650 ST,Motorcycles,88.90,8,711.20,2
10108,1,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S12_1099,1968 Ford Mustang,Classic Cars,165.38,6,992.28,5
10108,2,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S12_3380,1968 Dodge Charger,Classic Cars,96.30,4,385.20,5
10108,3,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,75.81,7,530.67,5
10108,4,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S12_4675,1969 Dodge Charger,Classic Cars,107.10,3,321.30,5
10108,5,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S18_1889,1948 Porsche 356-A Roadster,Classic Cars,67.76,2,135.52,5
10108,6,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S18_3278,1969 Dodge Super Bee,Classic Cars,73.17,9,658.53,5
10108,7,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S18_3482,1976 Ford Gran Torino,Classic Cars,132.29,8,1058.32,5
10108,8,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S18_3782,1957 Vespa GS150,Motorcycles,52.84,12,634.08,5
10108,9,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S18_4721,1957 Corvette Convertible,Classic Cars,139.87,11,1538.57,5
10108,10,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S24_2360,1982 Ducati 900 Monster,Motorcycles,64.41,15,966.15,5
10108,11,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S24_3371,1971 Alpine Renault 1600s,Classic Cars,60.01,5,300.05,5
10108,12,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S24_3856,1956 Porsche 356A Coupe,Classic Cars,132.00,1,132.00,5
10108,13,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S24_4620,1961 Chevrolet Impala,Classic Cars,67.10,10,671.00,5
10108,14,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S32_2206,1982 Ducati 996 R,Motorcycles,36.21,13,470.73,5
10108,15,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,87.76,16,1404.16,5
10108,16,2003-03-03,2003-03-12,2003-03-08,Shipped,129,1188,2,S50_4713,2002 Yamaha YZR M1,Motorcycles,74.85,14,1047.90,5
10109,1,2003-03-10,2003-03-19,2003-03-11,Shipped,131,1216,3,S18_1129,1993 Mazda RX-7,Classic Cars,117.48,4,469.92,1
10109,2,2003-03-10,2003-03-19,2003-03-11,Shipped,131,1216,3,S18_1984,1995 Honda Civic,Classic Cars,137.98,3,413.94,1
10109,3,2003-03-10,2003-03-19,2003-03-11,Shipped,131,1216,3,S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,126.72,1,126.72,1
10109,4,2003-03-10,2003-03-19,2003-03-11,Shipped,131,1216,3,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,160.87,5,804.35,1
10109,5,2003-03-10,2003-03-19,2003-03-11,Shipped,131,1216,3,S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,125.74,2,251.48,1
10109,6,2003-03-10,2003-03-19,2003-03-11,Shipped,131,1216,3,S24_2972,1982 Lamborghini Diablo,Classic Cars,32.10,6,192.60,1
10110,1,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_1589,1965 Aston Martin DB5,Classic Cars,118.22,16,1891.52,2
10110,2,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_1749,1917 Grand Touring Sedan,Vintage Cars,153.00,7,1071.00,2
10110,3,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_2248,1911 Ford Town Car,Vintage Cars,51.46,6,308.76,2
10110,4,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,115.69,4,462.76,2
10110,5,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,163.69,1,163.69,2
10110,6,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,81.91,8,655.28,2
10110,7,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S18_4933,1957 Ford Thunderbird,Classic Cars,62.00,9,558.00,2
10110,8,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_1046,1970 Chevy Chevelle SS 454,Classic Cars,72.02,13,936.26,2
10110,9,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_1628,1966 Shelby Cobra 427 S/C,Classic Cars,43.27,15,649.05,2
10110,10,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,28.88,3,86.64,2
10110,11,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,40.77,2,81.54,2
10110,12,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_2766,1949 Jaguar XK 120,Classic Cars,82.69,11,909.59,2
10110,13,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_2887,1952 Citroen-15CV,Classic Cars,112.74,10,1127.40,2
10110,14,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_3191,1969 Chevrolet Camaro Z28,Classic Cars,80.47,12,965.64,2
10110,15,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_3432,2002 Chevy Corvette,Classic Cars,96.37,14,1349.18,2
10110,16,2003-03-18,2003-03-24,2003-03-20,Shipped,141,1286,4,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,35.29,5,176.45,2
10111,1,2003-03-25,2003-03-31,2003-03-30,Shipped,144,1323,5,S18_1342,1937 Lincoln Berline,Vintage Cars,87.33,6,523.98,5
10111,2,2003-03-25,2003-03-31,2003-03-30,Shipped,144,1323,5,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,48.52,5,242.60,5
10111,3,2003-03-25,2003-03-31,2003-03-30,Shipped,144,1323,5,S18_2957,1934 Ford V8 Coupe,Vintage Cars,53.09,2,106.18,5
10111,4,2003-03-25,2003-03-31,2003-03-30,Shipped,144,1323,5,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,94.25,1,94.25,5
10111,5,2003-03-25,2003-03-31,2003-03-30,Shipped,144,1323,5,S18_3320,1917 Maxwell Touring Car,Vintage Cars,91.27,4,365.08,5
10111,6,2003-03-25,2003-03-31,2003-03-30,Shipped,144,1323,5,S24_4258,1936 Chrysler Airflow,Vintage Cars,85.70,3,257.10,5
10112,1,2003-03-24,2003-04-03,2003-03-29,Shipped,145,1337,6,S10_1949,1952 Alpine Renault 1300,Classic Cars,197.16,1,197.16,5
10112,2,2003-03-24,2003-04-03,2003-03-29,Shipped,145,1337,6,S18_2949,1913 Ford Model T Speedster,Vintage Cars,85.10,2,170.20,5
10113,1,2003-03-26,2003-04-02,2003-03-27,Shipped,146,1370,7,S12_1666,1958 Setra Bus,Trucks and Buses,121.64,2,243.28,1
10113,2,2003-03-26,2003-04-02,2003-03-27,Shipped,146,1370,7,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,101.50,4,406.00,1
10113,3,2003-03-26,2003-04-02,2003-03-27,Shipped,146,1370,7,S18_4668,1939 Cadillac Limousine,Vintage Cars,43.27,3,129.81,1
10113,4,2003-03-26,2003-04-02,2003-03-27,Shipped,146,1370,7,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,58.82,1,58.82,1
10114,1,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S10_4962,1962 LanciaA Delta 16V,Classic Cars,128.53,8,1028.24,1
10114,2,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,106.78,3,320.34,1
10114,3,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S18_2432,1926 Ford Fire Engine,Trucks and Buses,53.48,6,320.88,1
10114,4,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,169.34,4,677.36,1
10114,5,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S18_4600,1940s Ford truck,Trucks and Buses,105.34,9,948.06,1
10114,6,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,102.23,5,511.15,1
10114,7,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,28.64,1,28.64,1
10114,8,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S32_1268,1980�s GM Manhattan Express,Trucks and Buses,88.61,7,620.27,1
10114,9,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,43.83,2,87.66,1
10114,10,2003-04-01,2003-04-07,2003-04-02,Shipped,148,1401,1,S700_2824,1982 Camaro Z28,Classic Cars,82.94,10,829.40,1
10115,1,2003-04-04,2003-04-12,2003-04-07,Shipped,151,1501,2,S12_4473,1957 Chevy Pickup,Trucks and Buses,111.39,5,556.95,3
10115,2,2003-04-04,2003-04-12,2003-04-07,Shipped,151,1501,2,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,140.81,4,563.24,3
10115,3,2003-04-04,2003-04-12,2003-04-07,Shipped,151,1501,2,S24_1444,1970 Dodge Coronet,Classic Cars,56.64,2,113.28,3
10115,4,2003-04-04,2003-04-12,2003-04-07,Shipped,151,1501,2,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,106.45,1,106.45,3
10115,5,2003-04-04,2003-04-12,2003-04-07,Shipped,151,1501,2,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,100.70,3,302.10,3
10116,1,2003-04-11,2003-04-19,2003-04-13,Shipped,157,1504,3,S32_3207,1950's Chicago Surface Lines Streetcar,Trains,60.28,1,60.28,2
10117,1,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S12_1108,2001 Ferrari Enzo,Classic Cars,195.33,9,1757.97,1
10117,2,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S12_3148,1969 Corvair Monza,Classic Cars,148.06,10,1480.60,1
10117,3,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S12_3891,1969 Ford Falcon,Classic Cars,173.02,8,1384.16,1
10117,4,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S18_3140,1903 Ford Model A,Vintage Cars,121.57,5,607.85,1
10117,5,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S18_3259,Collectable Wooden Train,Trains,81.68,7,571.76,1
10117,6,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S18_4027,1970 Triumph Spitfire,Classic Cars,122.08,12,1464.96,1
10117,7,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S18_4522,1904 Buick Runabout,Vintage Cars,73.73,4,294.92,1
10117,8,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S24_2011,18th century schooner,Ships,119.20,3,357.60,1
10117,9,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S50_1514,1962 City of Detroit Streetcar,Trains,55.65,11,612.15,1
10117,10,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S700_1938,The Mayflower,Ships,75.35,6,452.10,1
10117,11,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S700_3962,The Queen Mary,Ships,89.38,1,89.38,1
10117,12,2003-04-16,2003-04-24,2003-04-17,Shipped,161,1611,4,S72_3212,Pont Yacht,Ships,52.42,2,104.84,1
10118,1,2003-04-21,2003-04-29,2003-04-26,Shipped,166,1612,5,S700_3505,The Titanic,Ships,86.15,1,86.15,5
10119,1,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S10_4757,1972 Alfa Romeo GTA,Classic Cars,112.88,11,1241.68,4
10119,2,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S18_1662,1980s Black Hawk Helicopter,Planes,151.38,3,454.14,4
10119,3,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S18_3029,1999 Yamaha Speed Boat,Ships,74.84,9,673.56,4
10119,4,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,95.28,8,762.24,4
10119,5,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S24_2841,1900s Vintage Bi-Plane,Planes,64.40,4,257.60,4
10119,6,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,72.58,13,943.54,4
10119,7,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S24_3420,1937 Horch 930V Limousine,Vintage Cars,63.12,5,315.60,4
10119,8,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,82.18,10,821.80,4
10119,9,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S24_3949,Corsair F4U ( Bird Cage),Planes,62.10,2,124.20,4
10119,10,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S700_1138,The Schooner Bluenose,Ships,57.34,14,802.76,4
10119,11,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S700_2047,HMS Bounty,Ships,74.23,7,519.61,4
10119,12,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S700_2610,The USS Constitution Ship,Ships,67.22,12,806.64,4
10119,13,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S700_4002,American Airlines: MD-11S,Planes,63.67,1,63.67,4
10119,14,2003-04-28,2003-05-05,2003-05-02,Shipped,167,1619,6,S72_1253,Boeing X-32A JSF,Planes,40.22,6,241.32,4
10120,1,2003-04-29,2003-05-08,2003-05-01,Shipped,168,1621,7,S10_2016,1996 Moto Guzzi 1100i,Motorcycles,118.94,3,356.82,2
10120,2,2003-04-29,2003-05-08,2003-05-01,Shipped,168,1621,7,S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,158.80,2,317.60,2
10120,3,2003-04-29,2003-05-08,2003-05-01,Shipped,168,1621,7,S18_2581,P-51-D Mustang,Planes,82.79,8,662.32,2
10120,4,2003-04-29,2003-05-08,2003-05-01,Shipped,168,1621,7,S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,57.54,4,230.16,2
10120,5,2003-04-29,2003-05-08,2003-05-01,Shipped,168,1621,7,S24_1578,1997 BMW R 1100 S,Motorcycles,110.45,1,110.45,2
10120,6,2003-04-29,2003-05-08,2003-05-01,Shipped,168,1621,7,S24_1785,1928 British Royal Navy Airplane,Planes,93.01,10,930.10,2
