product_key,product_number,product_name,category_key,product_scale,product_manufacturer,length,width,height
65,S24_2360,1982 Ducati 900 Monster,2,1:24,Highway 66 Mini Classics,6840,47.1,69.26
66,S24_2766,1949 Jaguar XK 120,1,1:24,Classic Metal Creations,2350,47.25,90.87
67,S24_2840,1958 Chevy Corvette Limited Edition,1,1:24,Carousel DieCast Legends,2542,15.91,35.36
68,S24_2841,1900s Vintage Bi-Plane,3,1:24,Autoart Studio Design,5942,34.25,68.51
69,S24_2887,1952 Citroen-15CV,1,1:24,Exoto Designs,1452,72.82,117.44
70,S24_2972,1982 Lamborghini Diablo,1,1:24,Second Gear Diecast,7723,16.24,37.76
71,S24_3151,1912 Ford Model T Delivery Wagon,7,1:24,Min Lin Diecast,9173,46.91,88.51
72,S24_3191,1969 Chevrolet Camaro Z28,1,1:24,Exoto Designs,4695,50.51,85.61
73,S24_3371,1971 Alpine Renault 1600s,1,1:24,Welly Diecast Productions,7995,38.58,61.23
74,S24_3420,1937 Horch 930V Limousine,7,1:24,Autoart Studio Design,2902,26.3,65.75
75,S24_3432,2002 Chevy Corvette,1,1:24,Gearbox Collectibles,9446,62.11,107.08
76,S24_3816,1940 Ford Delivery Sedan,7,1:24,Carousel DieCast Legends,6621,48.64,83.86
77,S24_3856,1956 Porsche 356A Coupe,1,1:18,Classic Metal Creations,6600,98.3,140.43
78,S24_3949,Corsair F4U ( Bird Cage),3,1:24,Second Gear Diecast,6812,29.34,68.24
79,S24_3969,1936 Mercedes Benz 500k Roadster,7,1:24,Red Start Diecast,2081,21.75,41.03
80,S24_4048,1992 Porsche Cayenne Turbo Silver,1,1:24,Exoto Designs,6582,69.78,118.28
81,S24_4258,1936 Chrysler Airflow,7,1:24,Second Gear Diecast,4710,57.46,97.39
82,S24_4278,1900s Vintage Tri-Plane,3,1:24,Unimax Art Galleries,2756,36.23,72.45
83,S24_4620,1961 Chevrolet Impala,1,1:18,Classic Metal Creations,7869,32.33,80.84
84,S32_1268,1980�s GM Manhattan Express,6,1:32,Motor City Art Classics,5099,53.93,96.31
85,S32_1374,1997 BMW F650 ST,2,1:32,Exoto Designs,178,66.92,99.89
86,S32_2206,1982 Ducati 996 R,2,1:32,Gearbox Collectibles,9241,24.14,40.23
87,S32_2509,1954 Greyhound Scenicruiser,6,1:32,Classic Metal Creations,2874,25.98,54.11
88,S32_3207,1950's Chicago Surface Lines Streetcar,5,1:32,Gearbox Collectibles,8601,26.72,62.14
89,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,6,1:32,Red Start Diecast,814,33.61,64.64
90,S32_4289,1928 Ford Phaeton Deluxe,7,1:32,Highway 66 Mini Classics,136,33.02,68.79
91,S32_4485,1974 Ducati 350 Mk3 Desmo,2,1:32,Second Gear Diecast,3341,56.13,102.05
92,S50_1341,1930 Buick Marquette Phaeton,7,1:50,Studio M Art Models,7062,27.06,43.64
93,S50_1392,Diamond T620 Semi-Skirted Tanker,6,1:50,Highway 66 Mini Classics,1016,68.29,115.75
94,S50_1514,1962 City of Detroit Streetcar,5,1:50,Classic Metal Creations,1645,37.49,58.58
95,S50_4713,2002 Yamaha YZR M1,2,1:50,Autoart Studio Design,600,34.17,81.36
96,S700_1138,The Schooner Bluenose,4,1:700,Autoart Studio Design,4566,15.25,142.26
97,S700_1691,American Airlines: B767-300,3,1:700,Min Lin Diecast,5841,51.15,91.34
98,S700_1938,The Mayflower,4,1:700,Studio M Art Models,600,34.17,81.36
99,S700_2047,HMS Bounty,4,1:700,Unimax Art Galleries,600,34.17,81.36
100,S700_2466,America West Airlines B757-200,3,1:700,Motor City Art Classics,9653,68.8,99.72
101,S700_2610,The USS Constitution Ship,4,1:700,Red Start Diecast,7083,33.97,72.28
102,S700_2824,1982 Camaro Z28,1,1:18,Carousel DieCast Legends,600,34.17,81.36
103,S700_2834,ATA: B757-300,3,1:700,Highway 66 Mini Classics,7106,59.33,118.65
104,S700_3167,F/A 18 Hornet 1/72,3,1:72,Motor City Art Classics,551,54.4,80
105,S700_3505,The Titanic,4,1:700,Carousel DieCast Legends,1956,51.09,100.17
106,S700_3962,The Queen Mary,4,1:700,Welly Diecast Productions,5088,53.63,99.31
107,S700_4002,American Airlines: MD-11S,3,1:700,Second Gear Diecast,8820,36.27,74.03
108,S72_1253,Boeing X-32A JSF,3,1:72,Motor City Art Classics,4857,32.77,49.66
109,S72_3212,Pont Yacht,4,1:72,Unimax Art Galleries,,,
