date_key,full_date,year,quarter,month,month_name,day_of_month,day_of_week
20031021,2003-10-21,2003,4,10,October,21,Tuesday
20031022,2003-10-22,2003,4,10,October,22,Wednesday
20031023,2003-10-23,2003,4,10,October,23,Thursday
20031028,2003-10-28,2003,4,10,October,28,Tuesday
20031104,2003-11-04,2003,4,11,November,4,Tuesday
20031105,2003-11-05,2003,4,11,November,5,Wednesday
20031106,2003-11-06,2003,4,11,November,6,Thursday
20031107,2003-11-07,2003,4,11,November,7,Friday
20031108,2003-11-08,2003,4,11,November,8,Saturday
20031111,2003-11-11,2003,4,11,November,11,Tuesday
20031112,2003-11-12,2003,4,11,November,12,Wednesday
20031113,2003-11-13,2003,4,11,November,13,Thursday
20031114,2003-11-14,2003,4,11,November,14,Friday
20031115,2003-11-15,2003,4,11,November,15,Saturday
20031118,2003-11-18,2003,4,11,November,18,Tuesday
20031119,2003-11-19,2003,4,11,November,19,Wednesday
20031120,2003-11-20,2003,4,11,November,20,Thursday
20031121,2003-11-21,2003,4,11,November,21,Friday
20031125,2003-11-25,2003,4,11,November,25,Tuesday
20031126,2003-11-26,2003,4,11,November,26,Wednesday
20031127,2003-11-27,2003,4,11,November,27,Thursday
20031201,2003-12-01,2003,4,12,December,1,Monday
20031202,2003-12-02,2003,4,12,December,2,Tuesday
20031203,2003-12-03,2003,4,12,December,3,Wednesday
20031205,2003-12-05,2003,4,12,December,5,Friday
20031209,2003-12-09,2003,4,12,December,9,Tuesday
20040102,2004-01-02,2004,1,1,January,2,Friday
20040109,2004-01-09,2004,1,1,January,9,Friday
20040112,2004-01-12,2004,1,1,January,12,Monday
20040115,2004-01-15,2004,1,1,January,15,Thursday
20040116,2004-01-16,2004,1,1,January,16,Friday
20040122,2004-01-22,2004,1,1,January,22,Thursday
20040126,2004-01-26,2004,1,1,January,26,Monday
20040129,2004-01-29,2004,1,1,January,29,Thursday
20040202,2004-02-02,2004,1,2,February,2,Monday
20040204,2004-02-04,2004,1,2,February,4,Wednesday
20040209,2004-02-09,2004,1,2,February,9,Monday
20040210,2004-02-10,2004,1,2,February,10,Tuesday
20040212,2004-02-12,2004,1,2,February,12,Thursday
20040218,2004-02-18,2004,1,2,February,18,Wednesday
20040219,2004-02-19,2004,1,2,February,19,Thursday
20040220,2004-02-20,2004,1,2,February,20,Friday
20040221,2004-02-21,2004,1,2,February,21,Saturday
20040222,2004-02-22,2004,1,2,February,22,Sunday
20040226,2004-02-26,2004,1,2,February,26,Thursday
20040302,2004-03-02,2004,1,3,March,2,Tuesday
20040310,2004-03-10,2004,1,3,March,10,Wednesday
20040311,2004-03-11,2004,1,3,March,11,Thursday
20040315,2004-03-15,2004,1,3,March,15,Monday
20040319,2004-03-19,2004,1,3,March,19,Friday
20040320,2004-03-20,2004,1,3,March,20,Saturday
20040329,2004-03-29,2004,1,3,March,29,Monday
20040330,2004-03-30,2004,1,3,March,30,Tuesday
20040402,2004-04-02,2004,2,4,April,2,Friday
20040403,2004-04-03,2004,2,4,April,3,Saturday
20040405,2004-04-05,2004,2,4,April,5,Monday
20040409,2004-04-09,2004,2,4,April,9,Friday
20040412,2004-04-12,2004,2,4,April,12,Monday
20040413,2004-04-13,2004,2,4,April,13,Tuesday
20040420,2004-04-20,2004,2,4,April,20,Tuesday
20040426,2004-04-26,2004,2,4,April,26,Monday
20040429,2004-04-29,2004,2,4,April,29,Thursday
20040504,2004-05-04,2004,2,5,May,4,Tuesday
20040505,2004-05-05,2004,2,5,May,5,Wednesday
20040507,2004-05-07,2004,2,5,May,7,Friday
20040508,2004-05-08,2004,2,5,May,8,Saturday
20040511,2004-05-11,2004,2,5,May,11,Tuesday
20040518,2004-05-18,2004,2,5,May,18,Tuesday
20040526,2004-05-26,2004,2,5,May,26,Wednesday
20040601,2004-06-01,2004,2,6,June,1,Tuesday
20040603,2004-06-03,2004,2,6,June,3,Thursday
20040604,2004-06-04,2004,2,6,June,4,Friday
20040608,2004-06-08,2004,2,6,June,8,Tuesday
20040614,2004-06-14,2004,2,6,June,14,Monday
20040615,2004-06-15,2004,2,6,June,15,Tuesday
20040616,2004-06-16,2004,2,6,June,16,Wednesday
20040617,2004-06-17,2004,2,6,June,17,Thursday
20040624,2004-06-24,2004,2,6,June,24,Thursday
20040628,2004-06-28,2004,2,6,June,28,Monday
20040630,2004-06-30,2004,2,6,June,30,Wednesday
20040702,2004-07-02,2004,3,7,July,2,Friday
20040706,2004-07-06,2004,3,7,July,6,Tuesday
20040707,2004-07-07,2004,3,7,July,7,Wednesday
20040712,2004-07-12,2004,3,7,July,12,Monday
20040716,2004-07-16,2004,3,7,July,16,Friday
20040719,2004-07-19,2004,3,7,July,19,Monday
20040720,2004-07-20,2004,3,7,July,20,Tuesday
20040721,2004-07-21,2004,3,7,July,21,Wednesday
20040723,2004-07-23,2004,3,7,July,23,Friday
20040802,2004-08-02,2004,3,8,August,2,Monday
20040804,2004-08-04,2004,3,8,August,4,Wednesday
20040806,2004-08-06,2004,3,8,August,6,Friday
20040809,2004-08-09,2004,3,8,August,9,Monday
20040817,2004-08-17,2004,3,8,August,17,Tuesday
20040819,2004-08-19,2004,3,8,August,19,Thursday
20040820,2004-08-20,2004,3,8,August,20,Friday
20040821,2004-08-21,2004,3,8,August,21,Saturday
20040827,2004-08-27,2004,3,8,August,27,Friday
20040828,2004-08-28,2004,3,8,August,28,Saturday
20040830,2004-08-30,2004,3,8,August,30,Monday
20040901,2004-09-01,2004,3,9,September,1,Wednesday
20040903,2004-09-03,2004,3,9,September,3,Friday
20040907,2004-09-07,2004,3,9,September,7,Tuesday
20040908,2004-09-08,2004,3,9,September,8,Wednesday
20040909,2004-09-09,2004,3,9,September,9,Thursday
20040910,2004-09-10,2004,3,9,September,10,Friday
20040915,2004-09-15,2004,3,9,September,15,Wednesday
20040916,2004-09-16,2004,3,9,September,16,Thursday
20040927,2004-09-27,2004,3,9,September,27,Monday
20040930,2004-09-30,2004,3,9,September,30,Thursday
20041006,2004-10-06,2004,4,10,October,6,Wednesday
20041011,2004-10-11,2004,4,10,October,11,Monday
20041013,2004-10-13,2004,4,10,October,13,Wednesday
20041014,2004-10-14,2004,4,10,October,14,Thursday
20041015,2004-10-15,2004,4,10,October,15,Friday
20041016,2004-10-16,2004,4,10,October,16,Saturday
20041021,2004-10-21,2004,4,10,October,21,Thursday
20041022,2004-10-22,2004,4,10,October,22,Friday
20041029,2004-10-29,2004,4,10,October,29,Friday
20041101,2004-11-01,2004,4,11,November,1,Monday
20041102,2004-11-02,2004,4,11,November,2,Tuesday
20041103,2004-11-03,2004,4,11,November,3,Wednesday
20041104,2004-11-04,2004,4,11,November,4,Thursday
20041105,2004-11-05,2004,4,11,November,5,Friday
20041109,2004-11-09,2004,4,11,November,9,Tuesday
20041110,2004-11-10,2004,4,11,November,10,Wednesday
20041112,2004-11-12,2004,4,11,November,12,Friday
20041115,2004-11-15,2004,4,11,November,15,Monday
20041116,2004-11-16,2004,4,11,November,16,Tuesday
20041117,2004-11-17,2004,4,11,November,17,Wednesday
20041118,2004-11-18,2004,4,11,November,18,Thursday
20041119,2004-11-19,2004,4,11,November,19,Friday
20041120,2004-11-20,2004,4,11,November,20,Saturday
20041121,2004-11-21,2004,4,11,November,21,Sunday
20041122,2004-11-22,2004,4,11,November,22,Monday
20041123,2004-11-23,2004,4,11,November,23,Tuesday
20041124,2004-11-24,2004,4,11,November,24,Wednesday
20041125,2004-11-25,2004,4,11,November,25,Thursday
20041129,2004-11-29,2004,4,11,November,29,Monday
20041201,2004-12-01,2004,4,12,December,1,Wednesday
20041202,2004-12-02,2004,4,12,December,2,Thursday
20041203,2004-12-03,2004,4,12,December,3,Friday
20041204,2004-12-04,2004,4,12,December,4,Saturday
20041207,2004-12-07,2004,4,12,December,7,Tuesday
20041209,2004-12-09,2004,4,12,December,9,Thursday
20041210,2004-12-10,2004,4,12,December,10,Friday
20041215,2004-12-15,2004,4,12,December,15,Wednesday
20041216,2004-12-16,2004,4,12,December,16,Thursday
20041217,2004-12-17,2004,4,12,December,17,Friday
20050105,2005-01-05,2005,1,1,January,5,Wednesday
20050106,2005-01-06,2005,1,1,January,6,Thursday
20050107,2005-01-07,2005,1,1,January,7,Friday
20050110,2005-01-10,2005,1,1,January,10,Monday
20050112,2005-01-12,2005,1,1,January,12,Wednesday
20050119,2005-01-19,2005,1,1,January,19,Wednesday
20050120,2005-01-20,2005,1,1,January,20,Thursday
20050123,2005-01-23,2005,1,1,January,23,Sunday
20050126,2005-01-26,2005,1,1,January,26,Wednesday
20050131,2005-01-31,2005,1,1,January,31,Monday
20050202,2005-02-02,2005,1,2,February,2,Wednesday
20050203,2005-02-03,2005,1,2,February,3,Thursday
20050208,2005-02-08,2005,1,2,February,8,Tuesday
20050209,2005-02-09,2005,1,2,February,9,Wednesday
20050210,2005-02-10,2005,1,2,February,10,Thursday
20050216,2005-02-16,2005,1,2,February,16,Wednesday
20050217,2005-02-17,2005,1,2,February,17,Thursday
20050222,2005-02-22,2005,1,2,February,22,Tuesday
20050223,2005-02-23,2005,1,2,February,23,Wednesday
20050228,2005-02-28,2005,1,2,February,28,Monday
20050301,2005-03-01,2005,1,3,March,1,Tuesday
20050302,2005-03-02,2005,1,3,March,2,Wednesday
20050303,2005-03-03,2005,1,3,March,3,Thursday
20050304,2005-03-04,2005,1,3,March,4,Friday
20050309,2005-03-09,2005,1,3,March,9,Wednesday
20050310,2005-03-10,2005,1,3,March,10,Thursday
20050311,2005-03-11,2005,1,3,March,11,Friday
20050315,2005-03-15,2005,1,3,March,15,Tuesday
20050317,2005-03-17,2005,1,3,March,17,Thursday
20050323,2005-03-23,2005,1,3,March,23,Wednesday
20050328,2005-03-28,2005,1,3,March,28,Monday
20050330,2005-03-30,2005,1,3,March,30,Wednesday
20050401,2005-04-01,2005,2,4,April,1,Friday
