sales_key,order_number,order_line_number,order_date_key,product_key,customer_key,employee_key,status_key,quantity,unit_price,sales_amount,shipping_days
40,10105,1,20030211,5,6,6,3,2,127.84,255.68,1
41,10105,2,20030211,8,6,6,3,15,205.72,3085.80,1
42,10105,3,20030211,13,6,6,3,14,141.88,1986.32,1
43,10105,4,20030211,39,6,6,3,11,136.59,1502.49,1
44,10105,5,20030211,41,6,6,3,13,87.73,1140.49,1
45,10105,6,20030211,50,6,6,3,10,75.48,754.80,1
46,10105,7,20030211,62,6,6,3,9,117.97,1061.73,1
47,10105,8,20030211,71,6,6,3,4,73.46,293.84,1
48,10105,9,20030211,76,6,6,3,1,75.47,75.47,1
49,10105,10,20030211,96,6,6,3,5,54.00,270.00,1
50,10105,11,20030211,98,6,6,3,12,86.61,1039.32,1
51,10105,12,20030211,101,6,6,3,3,60.72,182.16,1
52,10105,13,20030211,105,6,6,3,6,92.16,552.96,1
53,10105,14,20030211,106,6,6,3,7,99.31,695.17,1
54,10105,15,20030211,109,6,6,3,8,44.77,358.16,1
55,10106,1,20030217,22,7,7,3,12,134.04,1608.48,4
56,10106,2,20030217,31,7,7,3,2,81.10,162.20,4
57,10106,3,20030217,37,7,7,3,18,80.86,1455.48,4
58,10106,4,20030217,47,7,7,3,17,94.22,1601.74,4
59,10106,5,20030217,59,7,7,3,4,107.23,428.92,4
60,10106,6,20030217,68,7,7,3,13,65.77,855.01,4
61,10106,7,20030217,74,7,7,3,14,55.89,782.46,4
62,10106,8,20030217,78,7,7,3,11,55.96,615.56,4
63,10106,9,20030217,82,7,7,3,3,71.00,213.00,4
64,10106,10,20030217,90,7,7,3,5,65.35,326.75,4
65,10106,11,20030217,92,7,7,3,6,35.78,214.68,4
66,10106,12,20030217,97,7,7,3,7,91.34,639.38,4
67,10106,13,20030217,99,7,7,3,16,85.09,1361.44,4
68,10106,14,20030217,100,7,7,3,9,99.72,897.48,4
69,10106,15,20030217,103,7,7,3,1,113.90,113.90,4
70,10106,16,20030217,104,7,7,3,8,76.00,608.00,4
71,10106,17,20030217,107,7,7,3,10,70.33,703.30,4
72,10106,18,20030217,108,7,7,3,15,43.70,655.50,4
73,10107,1,20030224,1,8,8,3,2,81.35,162.70,2
74,10107,2,20030224,3,8,8,3,5,105.86,529.30,2
75,10107,3,20030224,4,8,8,3,4,172.36,689.44,2
76,10107,4,20030224,10,8,8,3,1,122.00,122.00,2
77,10107,5,20030224,32,8,8,3,6,52.70,316.20,2
78,10107,6,20030224,57,8,8,3,3,96.92,290.76,2
79,10107,7,20030224,61,8,8,3,7,73.12,511.84,2
80,10107,8,20030224,85,8,8,3,8,88.90,711.20,2
81,10108,1,20030303,7,9,9,3,6,165.38,992.28,5
82,10108,2,20030303,12,9,9,3,4,96.30,385.20,5
83,10108,3,20030303,14,9,9,3,7,75.81,530.67,5
84,10108,4,20030303,16,9,9,3,3,107.10,321.30,5
85,10108,5,20030303,24,9,9,3,2,67.76,135.52,5
86,10108,6,20030303,42,9,9,3,9,73.17,658.53,5
87,10108,7,20030303,44,9,9,3,8,132.29,1058.32,5
88,10108,8,20030303,46,9,9,3,12,52.84,634.08,5
89,10108,9,20030303,53,9,9,3,11,139.87,1538.57,5
90,10108,10,20030303,65,9,9,3,15,64.41,966.15,5
91,10108,11,20030303,73,9,9,3,5,60.01,300.05,5
92,10108,12,20030303,77,9,9,3,1,132.00,132.00,5
93,10108,13,20030303,83,9,9,3,10,67.10,671.00,5
94,10108,14,20030303,86,9,9,3,13,36.21,470.73,5
95,10108,15,20030303,91,9,9,3,16,87.76,1404.16,5
96,10108,16,20030303,95,9,9,3,14,74.85,1047.90,5
97,10109,1,20030310,18,10,10,3,4,117.48,469.92,1
98,10109,2,20030310,25,10,10,3,3,137.98,413.94,1
99,10109,3,20030310,34,10,10,3,1,126.72,126.72,1
100,10109,4,20030310,40,10,10,3,5,160.87,804.35,1
101,10109,5,20030310,45,10,10,3,2,125.74,251.48,1
102,10109,6,20030310,70,10,10,3,6,32.10,192.60,1
103,10110,1,20030318,21,11,11,3,16,118.22,1891.52,2
104,10110,2,20030318,23,11,11,3,7,153.00,1071.00,2
105,10110,3,20030318,27,11,11,3,6,51.46,308.76,2
106,10110,4,20030318,29,11,11,3,4,115.69,462.76,2
107,10110,5,20030318,33,11,11,3,1,163.69,163.69,2
108,10110,6,20030318,49,11,11,3,8,81.91,655.28,2
109,10110,7,20030318,54,11,11,3,9,62.00,558.00,2
110,10110,8,20030318,55,11,11,3,13,72.02,936.26,2
111,10110,9,20030318,58,11,11,3,15,43.27,649.05,2
112,10110,10,20030318,60,11,11,3,3,28.88,86.64,2
113,10110,11,20030318,63,11,11,3,2,40.77,81.54,2
114,10110,12,20030318,66,11,11,3,11,82.69,909.59,2
115,10110,13,20030318,69,11,11,3,10,112.74,1127.40,2
116,10110,14,20030318,72,11,11,3,12,80.47,965.64,2
117,10110,15,20030318,75,11,11,3,14,96.37,1349.18,2
118,10110,16,20030318,79,11,11,3,5,35.29,176.45,2
119,10111,1,20030325,19,12,12,3,6,87.33,523.98,5
120,10111,2,20030325,20,12,12,3,5,48.52,242.60,5
121,10111,3,20030325,36,12,12,3,2,53.09,106.18,5
122,10111,4,20030325,38,12,12,3,1,94.25,94.25,5
123,10111,5,20030325,43,12,12,3,4,91.27,365.08,5
124,10111,6,20030325,81,12,12,3,3,85.70,257.10,5
125,10112,1,20030324,2,13,13,3,1,197.16,197.16,5
126,10112,2,20030324,35,13,13,3,2,85.10,170.20,5
127,10113,1,20030326,9,14,14,3,2,121.64,243.28,1
128,10113,2,20030326,17,14,14,3,4,101.50,406.00,1
129,10113,3,20030326,52,14,14,3,3,43.27,129.81,1
130,10113,4,20030326,89,14,14,3,1,58.82,58.82,1
131,10114,1,20030401,6,15,15,3,8,128.53,1028.24,1
132,10114,2,20030401,28,15,15,3,3,106.78,320.34,1
133,10114,3,20030401,30,15,15,3,6,53.48,320.88,1
134,10114,4,20030401,40,15,15,3,4,169.34,677.36,1
135,10114,5,20030401,51,15,15,3,9,105.34,948.06,1
136,10114,6,20030401,64,15,15,3,5,102.23,511.15,1
137,10114,7,20030401,67,15,15,3,1,28.64,28.64,1
138,10114,8,20030401,84,15,15,3,7,88.61,620.27,1
139,10114,9,20030401,87,15,15,3,2,43.83,87.66,1
140,10114,10,20030401,102,15,15,3,10,82.94,829.40,1
141,10115,1,20030404,15,16,16,3,5,111.39,556.95,3
142,10115,2,20030404,26,16,16,3,4,140.81,563.24,3
143,10115,3,20030404,56,16,16,3,2,56.64,113.28,3
144,10115,4,20030404,80,16,16,3,1,106.45,106.45,3
145,10115,5,20030404,93,16,16,3,3,100.70,302.10,3
146,10116,1,20030411,88,17,17,3,1,60.28,60.28,2
147,10117,1,20030416,8,18,18,3,9,195.33,1757.97,1
148,10117,2,20030416,11,18,18,3,10,148.06,1480.60,1
149,10117,3,20030416,13,18,18,3,8,173.02,1384.16,1
150,10117,4,20030416,39,18,18,3,5,121.57,607.85,1
151,10117,5,20030416,41,18,18,3,7,81.68,571.76,1
152,10117,6,20030416,48,18,18,3,12,122.08,1464.96,1
153,10117,7,20030416,50,18,18,3,4,73.73,294.92,1
154,10117,8,20030416,62,18,18,3,3,119.20,357.60,1
155,10117,9,20030416,94,18,18,3,11,55.65,612.15,1
156,10117,10,20030416,98,18,18,3,6,75.35,452.10,1
157,10117,11,20030416,106,18,18,3,1,89.38,89.38,1
158,10117,12,20030416,109,18,18,3,2,52.42,104.84,1
159,10118,1,20030421,105,19,19,3,1,86.15,86.15,5
160,10119,1,20030428,5,20,20,3,11,112.88,1241.68,4
161,10119,2,20030428,22,20,20,3,3,151.38,454.14,4
162,10119,3,20030428,37,20,20,3,9,74.84,673.56,4
163,10119,4,20030428,47,20,20,3,8,95.28,762.24,4
164,10119,5,20030428,68,20,20,3,4,64.40,257.60,4
165,10119,6,20030428,71,20,20,3,13,72.58,943.54,4
166,10119,7,20030428,74,20,20,3,5,63.12,315.60,4
167,10119,8,20030428,76,20,20,3,10,82.18,821.80,4
168,10119,9,20030428,78,20,20,3,2,62.10,124.20,4
169,10119,10,20030428,96,20,20,3,14,57.34,802.76,4
170,10119,11,20030428,99,20,20,3,7,74.23,519.61,4
171,10119,12,20030428,101,20,20,3,12,67.22,806.64,4
172,10119,13,20030428,107,20,20,3,1,63.67,63.67,4
173,10119,14,20030428,108,20,20,3,6,40.22,241.32,4
174,10120,1,20030429,3,21,21,3,3,118.94,356.82,2
175,10120,2,20030429,4,21,21,3,2,158.80,317.60,2
176,10120,3,20030429,31,21,21,3,8,82.79,662.32,2
177,10120,4,20030429,32,21,21,3,4,57.54,230.16,2
178,10120,5,20030429,57,21,21,3,1,110.45,110.45,2
179,10120,6,20030429,59,21,21,3,10,93.01,930.10,2
180,10120,7,20030429,61,21,21,3,5,72.36,361.80,2
181,10120,8,20030429,82,21,21,3,9,71.73,645.57,2
182,10120,9,20030429,85,21,21,3,6,94.90,569.40,2
183,10120,10,20030429,90,21,21,3,11,68.79,756.69,2
184,10120,11,20030429,92,21,21,3,12,41.46,497.52,2
185,10120,12,20030429,97,21,21,3,13,91.34,1187.42,2
186,10120,13,20030429,100,21,21,3,15,81.77,1226.55,2
187,10120,14,20030429,103,21,21,3,7,106.79,747.53,2
188,10120,15,20030429,104,21,21,3,14,72.00,1008.00,2
189,10121,1,20030507,1,22,22,3,5,86.13,430.65,6
190,10121,2,20030507,10,22,22,3,4,126.52,506.08,6
191,10121,3,20030507,65,22,22,3,2,58.18,116.36,6
192,10121,4,20030507,91,22,22,3,3,95.93,287.79,6
193,10121,5,20030507,95,22,22,3,1,72.41,72.41,6
194,10122,1,20030508,7,23,23,3,10,155.66,1556.60,5
195,10122,2,20030508,12,23,23,3,8,113.92,911.36,5
196,10122,3,20030508,14,23,23,3,11,65.44,719.84,5
197,10122,4,20030508,16,23,23,3,7,104.80,733.60,5
198,10122,5,20030508,18,23,23,3,2,114.65,229.30,5
199,10122,6,20030508,24,23,23,3,6,62.37,374.22,5
200,10122,7,20030508,25,23,23,3,1,113.80,113.80,5
201,10122,8,20030508,40,23,23,3,3,137.17,411.51,5
202,10122,9,20030508,42,23,23,3,13,69.15,898.95,5
203,10122,10,20030508,44,23,23,3,12,133.76,1605.12,5
204,10122,11,20030508,46,23,23,3,16,59.06,944.96,5
205,10122,12,20030508,53,23,23,3,15,145.82,2187.30,5
206,10122,13,20030508,70,23,23,3,4,34.74,138.96,5
207,10122,14,20030508,73,23,23,3,9,50.82,457.38,5
208,10122,15,20030508,77,23,23,3,5,136.22,681.10,5
209,10122,16,20030508,83,23,23,3,14,67.10,939.40,5
210,10122,17,20030508,86,23,23,3,17,33.79,574.43,5
211,10123,1,20030520,21,24,1,3,2,120.71,241.42,2
212,10123,2,20030520,34,24,1,3,3,114.84,344.52,2
213,10123,3,20030520,45,24,1,3,4,117.26,469.04,2
214,10123,4,20030520,58,24,1,3,1,43.27,43.27,2
215,10124,1,20030521,23,25,2,3,6,153.00,918.00,4
216,10124,2,20030521,27,25,2,3,5,58.12,290.60,4
217,10124,3,20030521,29,25,2,3,3,111.87,335.61,4
218,10124,4,20030521,49,25,2,3,7,75.46,528.22,4
219,10124,5,20030521,54,25,2,3,8,66.28,530.24,4
220,10124,6,20030521,55,25,2,3,12,62.47,749.64,4
221,10124,7,20030521,60,25,2,3,2,30.53,61.06,4
222,10124,8,20030521,63,25,2,3,1,36.29,36.29,4
223,10124,9,20030521,66,25,2,3,10,74.51,745.10,4
224,10124,10,20030521,69,25,2,3,9,93.95,845.55,4
225,10124,11,20030521,72,25,2,3,11,76.19,838.09,4
226,10124,12,20030521,75,25,2,3,13,101.73,1322.49,4
227,10124,13,20030521,79,25,2,3,4,36.11,144.44,4
228,10125,1,20030521,19,26,3,3,1,89.38,89.38,3
229,10125,2,20030521,33,26,3,3,2,138.38,276.76,3
230,10126,1,20030528,2,27,4,3,11,205.73,2263.03,5
231,10126,2,20030528,6,27,4,3,4,122.62,490.48,5
232,10126,3,20030528,9,27,4,3,8,135.30,1082.40,5
233,10126,4,20030528,17,27,4,3,10,116.67,1166.70,5
234,10126,5,20030528,20,27,4,3,17,51.21,870.57,5
235,10126,6,20030528,30,27,4,3,2,51.05,102.10,5
236,10126,7,20030528,35,27,4,3,12,93.21,1118.52,5
237,10126,8,20030528,36,27,4,3,14,61.84,865.76,5
238,10126,9,20030528,38,27,4,3,13,93.20,1211.60,5
239,10126,10,20030528,43,27,4,3,16,94.25,1508.00,5
240,10126,11,20030528,51,27,4,3,5,102.92,514.60,5
241,10126,12,20030528,52,27,4,3,9,47.29,425.61,5
242,10126,13,20030528,64,27,4,3,1,122.68,122.68,5
243,10126,14,20030528,81,27,4,3,15,83.76,1256.40,5
244,10126,15,20030528,84,27,4,3,3,82.83,248.49,5
245,10126,16,20030528,89,27,4,3,7,62.05,434.35,5
246,10126,17,20030528,102,27,4,3,6,97.10,582.60,5
247,10127,1,20030603,8,28,5,3,2,193.25,386.50,3
248,10127,2,20030603,11,28,5,3,3,140.50,421.50,3
249,10127,3,20030603,13,28,5,3,1,169.56,169.56,3
250,10127,4,20030603,15,28,5,3,11,100.73,1108.03,3
251,10127,5,20030603,26,28,5,3,10,140.81,1408.10,3
252,10127,6,20030603,28,28,5,3,14,114.14,1597.96,3
253,10127,7,20030603,40,28,5,3,15,149.02,2235.30,3
254,10127,8,20030603,48,28,5,3,5,126.39,631.95,3
255,10127,9,20030603,56,28,5,3,8,50.86,406.88,3
256,10127,10,20030603,67,28,5,3,12,34.30,411.60,3
257,10127,11,20030603,80,28,5,3,7,107.63,753.41,3
258,10127,12,20030603,87,28,5,3,13,46.53,604.89,3
259,10127,13,20030603,88,28,5,3,6,60.90,365.40,3
260,10127,14,20030603,93,28,5,3,9,111.12,1000.08,3
261,10127,15,20030603,94,28,5,3,4,55.65,222.60,3
262,10128,1,20030606,39,29,6,3,2,120.20,240.40,5
263,10128,2,20030606,41,29,6,3,4,80.67,322.68,5
264,10128,3,20030606,50,29,6,3,1,77.24,77.24,5
265,10128,4,20030606,98,29,6,3,3,72.75,218.25,5
266,10129,1,20030612,5,30,7,3,2,123.76,247.52,2
267,10129,2,20030612,62,30,7,3,9,113.06,1017.54,2
268,10129,3,20030612,71,30,7,3,4,81.43,325.72,2
269,10129,4,20030612,76,30,7,3,1,76.31,76.31,2
270,10129,5,20030612,96,30,7,3,5,58.67,293.35,2
271,10129,6,20030612,101,30,7,3,3,72.28,216.84,2
272,10129,7,20030612,105,30,7,3,6,90.15,540.90,2
273,10129,8,20030612,106,30,7,3,7,94.34,660.38,2
274,10129,9,20030612,109,30,7,3,8,44.23,353.84,2
275,10130,1,20030616,37,31,8,3,2,68.82,137.64,5
276,10130,2,20030616,47,31,8,3,1,99.52,99.52,5
277,10131,1,20030616,22,32,9,3,4,141.92,567.68,5
278,10131,2,20030616,68,32,9,3,5,60.97,304.85,5
279,10131,3,20030616,74,32,9,3,6,52.60,315.60,5
280,10131,4,20030616,78,32,9,3,3,54.59,163.77,5
281,10131,5,20030616,99,32,9,3,8,76.94,615.52,5
282,10131,6,20030616,100,32,9,3,1,86.76,86.76,5
283,10131,7,20030616,107,32,9,3,2,63.67,127.34,5
284,10131,8,20030616,108,32,9,3,7,40.22,281.54,5
285,10132,1,20030625,104,33,10,3,1,80.00,80.00,3
286,10133,1,20030627,31,34,11,3,3,80.26,240.78,6
287,10133,2,20030627,59,34,11,3,5,109.42,547.10,6
288,10133,3,20030627,82,34,11,3,4,61.58,246.32,6
289,10133,4,20030627,85,34,11,3,1,80.91,80.91,6
290,10133,5,20030627,90,34,11,3,6,67.41,404.46,6
291,10133,6,20030627,92,34,11,3,7,37.09,259.63,6
292,10133,7,20030627,97,34,11,3,8,76.73,613.84,6
293,10133,8,20030627,103,34,11,3,2,115.09,230.18,6
294,10134,1,20030701,1,35,12,3,2,90.92,181.84,4
295,10134,2,20030701,3,35,12,3,5,116.56,582.80,4
296,10134,3,20030701,4,35,12,3,4,187.85,751.40,4
297,10134,4,20030701,10,35,12,3,1,131.04,131.04,4
298,10134,5,20030701,32,35,12,3,6,51.48,308.88,4
299,10134,6,20030701,57,35,12,3,3,94.67,284.01,4
300,10134,7,20030701,61,35,12,3,7,75.41,527.87,4
301,10135,1,20030702,7,36,13,3,7,173.17,1212.19,1
302,10135,2,20030702,12,36,13,3,5,110.39,551.95,1
303,10135,3,20030702,14,36,13,3,8,72.62,580.96,1
304,10135,4,20030702,16,36,13,3,4,103.64,414.56,1
305,10135,5,20030702,24,36,13,3,3,66.99,200.97,1
306,10135,6,20030702,42,36,13,3,10,65.94,659.40,1
307,10135,7,20030702,44,36,13,3,9,139.64,1256.76,1
308,10135,8,20030702,46,36,13,3,13,49.74,646.62,1
309,10135,9,20030702,53,36,13,3,12,133.92,1607.04,1
310,10135,10,20030702,65,36,13,3,16,67.18,1074.88,1
311,10135,11,20030702,70,36,13,3,1,34.36,34.36,1
312,10135,12,20030702,73,36,13,3,6,52.05,312.30,1
313,10135,13,20030702,77,36,13,3,2,139.03,278.06,1
314,10135,14,20030702,83,36,13,3,11,76.80,844.80,1
315,10135,15,20030702,86,36,13,3,14,38.62,540.68,1
316,10135,16,20030702,91,36,13,3,17,91.85,1561.45,1
317,10135,17,20030702,95,36,13,3,15,78.92,1183.80,1
318,10136,1,20030704,18,37,14,3,2,117.48,234.96,2
319,10136,2,20030704,25,37,14,3,1,120.91,120.91,2
320,10136,3,20030704,40,37,14,3,3,169.34,508.02,2
321,10137,1,20030710,21,38,15,3,2,115.73,231.46,4
322,10137,2,20030710,34,38,15,3,3,110.88,332.64,4
323,10137,3,20030710,45,38,15,3,4,118.68,474.72,4
324,10137,4,20030710,58,38,15,3,1,40.25,40.25,4
325,10138,1,20030707,23,39,16,3,6,149.60,897.60,6
326,10138,2,20030707,27,39,16,3,5,51.46,257.30,6
327,10138,3,20030707,29,39,16,3,3,114.42,343.26,6
328,10138,4,20030707,49,39,16,3,7,79.15,554.05,6
329,10138,5,20030707,54,39,16,3,8,64.86,518.88,6
330,10138,6,20030707,55,39,16,3,12,59.53,714.36,6
331,10138,7,20030707,60,39,16,3,2,33.19,66.38,6
332,10138,8,20030707,63,39,16,3,1,38.53,38.53,6
333,10138,9,20030707,66,39,16,3,10,73.60,736.00,6
334,10138,10,20030707,69,39,16,3,9,96.30,866.70,6
335,10138,11,20030707,72,39,16,3,11,77.05,847.55,6
336,10138,12,20030707,75,39,16,3,13,99.58,1294.54,6
337,10138,13,20030707,79,39,16,3,4,32.82,131.28,6
338,10139,1,20030716,19,40,17,3,7,89.38,625.66,5
339,10139,2,20030716,20,40,17,3,6,52.83,316.98,5
340,10139,3,20030716,33,40,17,3,8,151.88,1215.04,5
341,10139,4,20030716,35,40,17,3,1,91.18,91.18,5
342,10139,5,20030716,36,40,17,3,3,52.47,157.41,5
343,10139,6,20030716,38,40,17,3,2,101.58,203.16,5
344,10139,7,20030716,43,40,17,3,5,81.35,406.75,5
345,10139,8,20030716,81,40,17,3,4,93.49,373.96,5
346,10140,1,20030724,2,41,18,3,11,186.44,2050.84,6
347,10140,2,20030724,6,41,18,3,4,131.49,525.96,6
348,10140,3,20030724,9,41,18,3,8,118.90,951.20,6
349,10140,4,20030724,17,41,18,3,10,95.67,956.70,6
350,10140,5,20030724,30,41,18,3,2,51.05,102.10,6
351,10140,6,20030724,51,41,18,3,5,100.50,502.50,6
352,10140,7,20030724,52,41,18,3,9,40.25,362.25,6
353,10140,8,20030724,64,41,18,3,1,118.84,118.84,6
354,10140,9,20030724,84,41,18,3,3,87.64,262.92,6
355,10140,10,20030724,89,41,18,3,7,62.05,434.35,6
356,10140,11,20030724,102,41,18,3,6,101.15,606.90,6
357,10141,1,20030801,15,42,19,3,5,114.95,574.75,3
358,10141,2,20030801,26,42,19,3,4,160.46,641.84,3
359,10141,3,20030801,28,42,19,3,8,103.09,824.72,3
360,10141,4,20030801,40,42,19,3,9,143.94,1295.46,3
361,10141,5,20030801,56,42,19,3,2,50.86,101.72,3
362,10141,6,20030801,67,42,19,3,6,32.18,193.08,3
363,10141,7,20030801,80,42,19,3,1,104.09,104.09,3
364,10141,8,20030801,87,42,19,3,7,53.03,371.21,3
365,10141,9,20030801,93,42,19,3,3,94.92,284.76,3
366,10142,1,20030808,8,43,20,3,12,166.24,1994.88,5
367,10142,2,20030808,11,43,20,3,13,140.50,1826.50,5
368,10142,3,20030808,13,43,20,3,11,167.83,1846.13,5
369,10142,4,20030808,39,43,20,3,8,129.76,1038.08,5
370,10142,5,20030808,41,43,20,3,10,95.80,958.00,5
371,10142,6,20030808,48,43,20,3,15,122.08,1831.20,5
372,10142,7,20030808,50,43,20,3,7,79.87,559.09,5
373,10142,8,20030808,62,43,20,3,6,114.29,685.74,5
374,10142,9,20030808,71,43,20,3,1,74.35,74.35,5
375,10142,10,20030808,88,43,20,3,16,60.90,974.40,5
376,10142,11,20030808,94,43,20,3,14,56.24,787.36,5
377,10142,12,20030808,96,43,20,3,2,55.34,110.68,5
378,10142,13,20030808,98,43,20,3,9,77.08,693.72,5
379,10142,14,20030808,105,43,20,3,3,92.16,276.48,5
380,10142,15,20030808,106,43,20,3,4,91.37,365.48,5
381,10142,16,20030808,109,43,20,3,5,46.96,234.80,5
382,10143,1,20030810,5,44,21,3,15,133.28,1999.20,2
383,10143,2,20030810,22,44,21,3,7,126.15,883.05,2
384,10143,3,20030810,37,44,21,3,13,70.54,917.02,2
385,10143,4,20030810,47,44,21,3,12,99.52,1194.24,2
386,10143,5,20030810,68,44,21,3,8,63.71,509.68,2
387,10143,6,20030810,74,44,21,3,9,59.83,538.47,2
388,10143,7,20030810,76,44,21,3,14,74.64,1044.96,2
389,10143,8,20030810,78,44,21,3,6,55.96,335.76,2
390,10143,9,20030810,92,44,21,3,1,34.91,34.91,2
391,10143,10,20030810,97,44,21,3,2,86.77,173.54,2
392,10143,11,20030810,99,44,21,3,11,87.80,965.80,2
393,10143,12,20030810,100,44,21,3,4,79.78,319.12,2
394,10143,13,20030810,101,44,21,3,16,69.39,1110.24,2
395,10143,14,20030810,104,44,21,3,3,70.40,211.20,2
396,10143,15,20030810,107,44,21,3,5,65.15,325.75,2
397,10143,16,20030810,108,44,21,3,10,49.66,496.60,2
398,10144,1,20030813,90,45,22,3,1,56.41,56.41,1
399,10145,1,20030825,1,46,23,3,6,76.56,459.36,6
400,10145,2,20030825,3,46,23,3,9,104.67,942.03,6
401,10145,3,20030825,4,46,23,3,8,154.93,1239.44,6
402,10145,4,20030825,10,46,23,3,5,146.10,730.50,6
403,10145,5,20030825,31,46,23,3,14,71.81,1005.34,6
404,10145,6,20030825,32,46,23,3,10,52.70,527.00,6
405,10145,7,20030825,57,46,23,3,7,103.68,725.76,6
406,10145,8,20030825,59,46,23,3,16,87.54,1400.64,6
407,10145,9,20030825,61,46,23,3,11,63.98,703.78,6
408,10145,10,20030825,65,46,23,3,3,56.10,168.30,6
409,10145,11,20030825,82,46,23,3,15,71.73,1075.95,6
410,10145,12,20030825,85,46,23,3,12,99.89,1198.68,6
411,10145,13,20030825,86,46,23,3,1,39.43,39.43,6
412,10145,14,20030825,91,46,23,3,4,95.93,383.72,6
413,10145,15,20030825,95,46,23,3,2,73.22,146.44,6
414,10145,16,20030825,103,46,23,3,13,113.90,1480.70,6
415,10146,1,20030903,46,47,1,3,2,60.30,120.60,3
416,10146,2,20030903,53,47,1,3,1,130.94,130.94,3
417,10147,1,20030905,7,48,2,3,7,161.49,1130.43,4
418,10147,2,20030905,12,48,2,3,5,110.39,551.95,4
419,10147,3,20030905,14,48,2,3,8,74.21,593.68,4
420,10147,4,20030905,16,48,2,3,4,97.89,391.56,4
421,10147,5,20030905,24,48,2,3,3,70.84,212.52,4
422,10147,6,20030905,42,48,2,3,10,74.78,747.80,4
423,10147,7,20030905,44,48,2,3,9,129.35,1164.15,4
424,10147,8,20030905,70,48,2,3,1,33.23,33.23,4
425,10147,9,20030905,73,48,2,3,6,48.98,293.88,4
426,10147,10,20030905,77,48,2,3,2,123.58,247.16,4
427,10147,11,20030905,83,48,2,3,11,72.76,800.36,4
428,10148,1,20030911,18,49,3,3,13,114.65,1490.45,4
429,10148,2,20030911,21,49,3,3,9,108.26,974.34,4
430,10148,3,20030911,25,49,3,3,12,136.56,1638.72,4
431,10148,4,20030911,34,49,3,3,10,113.52,1135.20,4
432,10148,5,20030911,40,49,3,3,14,143.94,2015.16,4
433,10148,6,20030911,45,49,3,3,11,135.63,1491.93,4
434,10148,7,20030911,49,49,3,3,1,83.75,83.75,4
435,10148,8,20030911,54,49,3,3,2,66.28,132.56,4
436,10148,9,20030911,55,49,3,3,6,65.41,392.46,4
437,10148,10,20030911,58,49,3,3,8,46.29,370.32,4
438,10148,11,20030911,66,49,3,3,4,77.24,308.96,4
439,10148,12,20030911,69,49,3,3,3,115.09,345.27,4
440,10148,13,20030911,72,49,3,3,5,71.91,359.55,4
441,10148,14,20030911,75,49,3,3,7,96.37,674.59,4
442,10149,1,20030912,19,50,4,3,4,87.33,349.32,5
443,10149,2,20030912,20,50,4,3,3,48.52,145.56,5
444,10149,3,20030912,23,50,4,3,11,156.40,1720.40,5
