order_number,order_date,expected_receiving_date,shipping_date,status
10145,2003-08-25,2003-09-02,2003-08-31,Shipped
10146,2003-09-03,2003-09-13,2003-09-06,Shipped
10147,2003-09-05,2003-09-12,2003-09-09,Shipped
10148,2003-09-11,2003-09-21,2003-09-15,Shipped
10149,2003-09-12,2003-09-18,2003-09-17,Shipped
10150,2003-09-19,2003-09-27,2003-09-21,Shipped
10151,2003-09-21,2003-09-30,2003-09-24,Shipped
10152,2003-09-25,2003-10-03,2003-10-01,Shipped
10153,2003-09-28,2003-10-05,2003-10-03,Shipped
10154,2003-10-02,2003-10-12,2003-10-08,Shipped
10155,2003-10-06,2003-10-13,2003-10-07,Shipped
10156,2003-10-08,2003-10-17,2003-10-11,Shipped
10157,2003-10-09,2003-10-15,2003-10-14,Shipped
10158,2003-10-10,2003-10-18,2003-10-15,Shipped
10159,2003-10-10,2003-10-19,2003-10-16,Shipped
10160,2003-10-11,2003-10-17,2003-10-17,Shipped
10161,2003-10-17,2003-10-25,2003-10-20,Shipped
10162,2003-10-18,2003-10-26,2003-10-19,Shipped
10163,2003-10-20,2003-10-27,2003-10-24,Shipped
10164,2003-10-21,2003-10-30,2003-10-23,Resolved
10165,2003-10-22,2003-10-31,2003-12-26,Shipped
10166,2003-10-21,2003-10-30,2003-10-27,Shipped
10167,2003-10-23,2003-10-30,2003-10-27,Cancelled
10168,2003-10-28,2003-11-03,2003-11-01,Shipped
10169,2003-11-04,2003-11-14,2003-11-09,Shipped
10170,2003-11-04,2003-11-12,2003-11-07,Shipped
10171,2003-11-05,2003-11-13,2003-11-07,Shipped
10172,2003-11-05,2003-11-14,2003-11-11,Shipped
10173,2003-11-05,2003-11-15,2003-11-09,Shipped
10174,2003-11-06,2003-11-15,2003-11-10,Shipped
10175,2003-11-06,2003-11-14,2003-11-09,Shipped
10176,2003-11-06,2003-11-15,2003-11-12,Shipped
10177,2003-11-07,2003-11-17,2003-11-12,Shipped
10178,2003-11-08,2003-11-16,2003-11-10,Shipped
10179,2003-11-11,2003-11-17,2003-11-13,Cancelled
10180,2003-11-11,2003-11-19,2003-11-14,Shipped
10181,2003-11-12,2003-11-19,2003-11-15,Shipped
10182,2003-11-12,2003-11-21,2003-11-18,Shipped
10183,2003-11-13,2003-11-22,2003-11-15,Shipped
10184,2003-11-14,2003-11-22,2003-11-20,Shipped
10185,2003-11-14,2003-11-21,2003-11-20,Shipped
10186,2003-11-14,2003-11-20,2003-11-18,Shipped
10187,2003-11-15,2003-11-24,2003-11-16,Shipped
10188,2003-11-18,2003-11-26,2003-11-24,Shipped
10189,2003-11-18,2003-11-25,2003-11-24,Shipped
10190,2003-11-19,2003-11-29,2003-11-20,Shipped
10191,2003-11-20,2003-11-30,2003-11-24,Shipped
10192,2003-11-20,2003-11-29,2003-11-25,Shipped
10193,2003-11-21,2003-11-28,2003-11-27,Shipped
10194,2003-11-25,2003-12-02,2003-11-26,Shipped
10195,2003-11-25,2003-12-01,2003-11-28,Shipped
10196,2003-11-26,2003-12-03,2003-12-01,Shipped
10197,2003-11-26,2003-12-02,2003-12-01,Shipped
10198,2003-11-27,2003-12-06,2003-12-03,Shipped
10199,2003-12-01,2003-12-10,2003-12-06,Shipped
10200,2003-12-01,2003-12-09,2003-12-06,Shipped
10201,2003-12-01,2003-12-11,2003-12-02,Shipped
10202,2003-12-02,2003-12-09,2003-12-06,Shipped
10203,2003-12-02,2003-12-11,2003-12-07,Shipped
10204,2003-12-02,2003-12-10,2003-12-04,Shipped
10205,2003-12-03,2003-12-09,2003-12-07,Shipped
10206,2003-12-05,2003-12-13,2003-12-08,Shipped
10207,2003-12-09,2003-12-17,2003-12-11,Shipped
10208,2004-01-02,2004-01-11,2004-01-04,Shipped
10209,2004-01-09,2004-01-15,2004-01-12,Shipped
10210,2004-01-12,2004-01-22,2004-01-20,Shipped
10211,2004-01-15,2004-01-25,2004-01-18,Shipped
10212,2004-01-16,2004-01-24,2004-01-18,Shipped
10213,2004-01-22,2004-01-28,2004-01-27,Shipped
10214,2004-01-26,2004-02-04,2004-01-29,Shipped
10215,2004-01-29,2004-02-08,2004-02-01,Shipped
10216,2004-02-02,2004-02-10,2004-02-04,Shipped
10217,2004-02-04,2004-02-14,2004-02-06,Shipped
10218,2004-02-09,2004-02-16,2004-02-11,Shipped
10219,2004-02-10,2004-02-17,2004-02-12,Shipped
10220,2004-02-12,2004-02-19,2004-02-16,Shipped
10221,2004-02-18,2004-02-26,2004-02-19,Shipped
10222,2004-02-19,2004-02-27,2004-02-20,Shipped
10223,2004-02-20,2004-02-29,2004-02-24,Shipped
10224,2004-02-21,2004-03-02,2004-02-26,Shipped
10225,2004-02-22,2004-03-01,2004-02-24,Shipped
10226,2004-02-26,2004-03-06,2004-03-02,Shipped
10227,2004-03-02,2004-03-12,2004-03-08,Shipped
10228,2004-03-10,2004-03-18,2004-03-13,Shipped
10229,2004-03-11,2004-03-20,2004-03-12,Shipped
10230,2004-03-15,2004-03-24,2004-03-20,Shipped
10231,2004-03-19,2004-03-26,2004-03-25,Shipped
10232,2004-03-20,2004-03-30,2004-03-25,Shipped
10233,2004-03-29,2004-04-04,2004-04-02,Shipped
10234,2004-03-30,2004-04-05,2004-04-02,Shipped
10235,2004-04-02,2004-04-12,2004-04-06,Shipped
10236,2004-04-03,2004-04-11,2004-04-08,Shipped
10237,2004-04-05,2004-04-12,2004-04-10,Shipped
10238,2004-04-09,2004-04-16,2004-04-10,Shipped
10239,2004-04-12,2004-04-21,2004-04-17,Shipped
10240,2004-04-13,2004-04-20,2004-04-20,Shipped
10241,2004-04-13,2004-04-20,2004-04-19,Shipped
10242,2004-04-20,2004-04-28,2004-04-25,Shipped
10243,2004-04-26,2004-05-03,2004-04-28,Shipped
10244,2004-04-29,2004-05-09,2004-05-04,Shipped
10245,2004-05-04,2004-05-12,2004-05-09,Shipped
10246,2004-05-05,2004-05-13,2004-05-06,Shipped
10247,2004-05-05,2004-05-11,2004-05-08,Shipped
10248,2004-05-07,2004-05-14,2004-05-08,Cancelled
10249,2004-05-08,2004-05-17,2004-05-11,Shipped
10250,2004-05-11,2004-05-19,2004-05-15,Shipped
10251,2004-05-18,2004-05-24,2004-05-24,Shipped
10252,2004-05-26,2004-06-04,2004-05-29,Shipped
10253,2004-06-01,2004-06-09,2004-06-02,Cancelled
10254,2004-06-03,2004-06-13,2004-06-04,Shipped
10255,2004-06-04,2004-06-12,2004-06-09,Shipped
10256,2004-06-08,2004-06-16,2004-06-10,Shipped
10257,2004-06-14,2004-06-24,2004-06-15,Shipped
10258,2004-06-15,2004-06-25,2004-06-23,Shipped
10259,2004-06-15,2004-06-22,2004-06-17,Shipped
10260,2004-06-16,2004-06-22,2004-06-17,Shipped
10261,2004-06-17,2004-06-25,2004-06-22,Shipped
10262,2004-06-24,2004-07-01,2004-06-22,Cancelled
10263,2004-06-28,2004-07-04,2004-07-02,Shipped
10264,2004-06-30,2004-07-06,2004-07-01,Shipped
10265,2004-07-02,2004-07-09,2004-07-07,Shipped
10266,2004-07-06,2004-07-14,2004-07-10,Shipped
10267,2004-07-07,2004-07-17,2004-07-09,Shipped
10268,2004-07-12,2004-07-18,2004-07-14,Shipped
10269,2004-07-16,2004-07-22,2004-07-18,Shipped
10270,2004-07-19,2004-07-27,2004-07-24,Shipped
10271,2004-07-20,2004-07-29,2004-07-23,Shipped
10272,2004-07-20,2004-07-26,2004-07-22,Shipped
10273,2004-07-21,2004-07-28,2004-07-22,Shipped
10274,2004-07-21,2004-07-29,2004-07-22,Shipped
10275,2004-07-23,2004-08-02,2004-07-29,Shipped
10276,2004-08-02,2004-08-11,2004-08-08,Shipped
10277,2004-08-04,2004-08-12,2004-08-05,Shipped
10278,2004-08-06,2004-08-16,2004-08-09,Shipped
10279,2004-08-09,2004-08-19,2004-08-15,Shipped
10280,2004-08-17,2004-08-27,2004-08-19,Shipped
10281,2004-08-19,2004-08-28,2004-08-23,Shipped
10282,2004-08-20,2004-08-26,2004-08-22,Shipped
10283,2004-08-20,2004-08-30,2004-08-23,Shipped
10284,2004-08-21,2004-08-29,2004-08-26,Shipped
10285,2004-08-27,2004-09-04,2004-08-31,Shipped
10286,2004-08-28,2004-09-06,2004-09-01,Shipped
10287,2004-08-30,2004-09-06,2004-09-01,Shipped
10288,2004-09-01,2004-09-11,2004-09-05,Shipped
10289,2004-09-03,2004-09-13,2004-09-04,Shipped
10290,2004-09-07,2004-09-15,2004-09-13,Shipped
10291,2004-09-08,2004-09-17,2004-09-14,Shipped
10292,2004-09-08,2004-09-18,2004-09-11,Shipped
10293,2004-09-09,2004-09-18,2004-09-14,Shipped
10294,2004-09-10,2004-09-17,2004-09-14,Shipped
10295,2004-09-10,2004-09-17,2004-09-14,Shipped
10296,2004-09-15,2004-09-22,2004-09-16,Shipped
10297,2004-09-16,2004-09-22,2004-09-21,Shipped
10298,2004-09-27,2004-10-05,2004-10-01,Shipped
10299,2004-09-30,2004-10-10,2004-10-01,Shipped
10300,2003-10-04,2003-10-13,2003-10-09,Shipped
10301,2003-10-05,2003-10-15,2003-10-08,Shipped
10302,2003-10-06,2003-10-16,2003-10-07,Shipped
10303,2004-10-06,2004-10-14,2004-10-09,Shipped
10304,2004-10-11,2004-10-20,2004-10-17,Shipped
10305,2004-10-13,2004-10-22,2004-10-15,Shipped
10306,2004-10-14,2004-10-21,2004-10-17,Shipped
10307,2004-10-14,2004-10-23,2004-10-20,Shipped
10308,2004-10-15,2004-10-24,2004-10-20,Shipped
10309,2004-10-15,2004-10-24,2004-10-18,Shipped
10310,2004-10-16,2004-10-24,2004-10-18,Shipped
10311,2004-10-16,2004-10-23,2004-10-20,Shipped
10312,2004-10-21,2004-10-27,2004-10-23,Shipped
10313,2004-10-22,2004-10-28,2004-10-25,Shipped
10314,2004-10-22,2004-11-01,2004-10-23,Shipped
10315,2004-10-29,2004-11-08,2004-10-30,Shipped
10316,2004-11-01,2004-11-09,2004-11-07,Shipped
10317,2004-11-02,2004-11-12,2004-11-08,Shipped
10318,2004-11-02,2004-11-09,2004-11-07,Shipped
10319,2004-11-03,2004-11-11,2004-11-06,Shipped
10320,2004-11-03,2004-11-13,2004-11-07,Shipped
10321,2004-11-04,2004-11-12,2004-11-07,Shipped
10322,2004-11-04,2004-11-12,2004-11-10,Shipped
10323,2004-11-05,2004-11-12,2004-11-09,Shipped
10324,2004-11-05,2004-11-11,2004-11-08,Shipped
10325,2004-11-05,2004-11-13,2004-11-08,Shipped
10326,2004-11-09,2004-11-16,2004-11-10,Shipped
10327,2004-11-10,2004-11-19,2004-11-13,Resolved
10328,2004-11-12,2004-11-21,2004-11-18,Shipped
10329,2004-11-15,2004-11-24,2004-11-16,Shipped
10330,2004-11-16,2004-11-25,2004-11-21,Shipped
10331,2004-11-17,2004-11-23,2004-11-23,Shipped
10332,2004-11-17,2004-11-25,2004-11-18,Shipped
10333,2004-11-18,2004-11-27,2004-11-20,Shipped
10334,2004-11-19,2004-11-28,2004-11-20,Cancelled
10335,2004-11-19,2004-11-29,2004-11-23,Shipped
10336,2004-11-20,2004-11-26,2004-11-24,Shipped
10337,2004-11-21,2004-11-30,2004-11-26,Shipped
10338,2004-11-22,2004-12-02,2004-11-27,Shipped
10339,2004-11-23,2004-11-30,2004-11-30,Shipped
10340,2004-11-24,2004-12-01,2004-11-25,Shipped
10341,2004-11-24,2004-12-01,2004-11-29,Shipped
10342,2004-11-24,2004-12-01,2004-11-29,Shipped
10343,2004-11-24,2004-12-01,2004-11-26,Shipped
10344,2004-11-25,2004-12-02,2004-11-29,Shipped
10345,2004-11-25,2004-12-01,2004-11-26,Shipped
10346,2004-11-29,2004-12-05,2004-11-30,Shipped
10347,2004-11-29,2004-12-07,2004-11-30,Shipped
10348,2004-11-01,2004-11-08,2004-11-05,Shipped
10349,2004-12-01,2004-12-07,2004-12-03,Shipped
10350,2004-12-02,2004-12-08,2004-12-05,Shipped
10351,2004-12-03,2004-12-11,2004-12-07,Shipped
10352,2004-12-03,2004-12-12,2004-12-09,Shipped
10353,2004-12-04,2004-12-11,2004-12-05,Shipped
10354,2004-12-04,2004-12-10,2004-12-05,Shipped
10355,2004-12-07,2004-12-14,2004-12-13,Shipped
10356,2004-12-09,2004-12-15,2004-12-12,Shipped
10357,2004-12-10,2004-12-16,2004-12-14,Shipped
10358,2004-12-10,2004-12-16,2004-12-16,Shipped
10359,2004-12-15,2004-12-23,2004-12-18,Shipped
10360,2004-12-16,2004-12-22,2004-12-18,Shipped
10361,2004-12-17,2004-12-24,2004-12-20,Shipped
10362,2005-01-05,2005-01-16,2005-01-10,Shipped
10363,2005-01-06,2005-01-12,2005-01-10,Shipped
10364,2005-01-06,2005-01-17,2005-01-09,Shipped
10365,2005-01-07,2005-01-18,2005-01-11,Shipped
10366,2005-01-10,2005-01-19,2005-01-12,Shipped
10367,2005-01-12,2005-01-21,2005-01-16,Resolved
10368,2005-01-19,2005-01-27,2005-01-24,Shipped
10369,2005-01-20,2005-01-28,2005-01-24,Shipped
10370,2005-01-20,2005-02-01,2005-01-25,Shipped
10371,2005-01-23,2005-02-03,2005-01-25,Shipped
10372,2005-01-26,2005-02-05,2005-01-28,Shipped
10373,2005-01-31,2005-02-08,2005-02-06,Shipped
10374,2005-02-02,2005-02-09,2005-02-03,Shipped
10375,2005-02-03,2005-02-10,2005-02-06,Shipped
10376,2005-02-08,2005-02-18,2005-02-13,Shipped
10377,2005-02-09,2005-02-21,2005-02-12,Shipped
10378,2005-02-10,2005-02-18,2005-02-11,Shipped
10379,2005-02-10,2005-02-18,2005-02-11,Shipped
10380,2005-02-16,2005-02-24,2005-02-18,Shipped
10381,2005-02-17,2005-02-25,2005-02-18,Shipped
10382,2005-02-17,2005-02-23,2005-02-18,Shipped
10383,2005-02-22,2005-03-02,2005-02-25,Shipped
10384,2005-02-23,2005-03-06,2005-02-27,Shipped
10385,2005-02-28,2005-03-09,2005-03-01,Shipped
10386,2005-03-01,2005-03-09,2005-03-06,Resolved
10387,2005-03-02,2005-03-09,2005-03-06,Shipped
10388,2005-03-03,2005-03-11,2005-03-09,Shipped
10389,2005-03-03,2005-03-09,2005-03-08,Shipped
10390,2005-03-04,2005-03-11,2005-03-07,Shipped
10391,2005-03-09,2005-03-20,2005-03-15,Shipped
10392,2005-03-10,2005-03-18,2005-03-12,Shipped
10393,2005-03-11,2005-03-22,2005-03-14,Shipped
10394,2005-03-15,2005-03-25,2005-03-19,Shipped
10395,2005-03-17,2005-03-24,2005-03-23,Shipped
10396,2005-03-23,2005-04-02,2005-03-28,Shipped
10397,2005-03-28,2005-04-09,2005-04-01,Shipped
10398,2005-03-30,2005-04-09,2005-03-31,Shipped
10399,2005-04-01,2005-04-12,2005-04-03,Shipped
10400,2005-04-01,2005-04-11,2005-04-04,Shipped
